"count-records";"example-numCases";"example-numValues";"count-keys";"example-value";"count-description";"example-index";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"domainAnalyse-name";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
1;;;1;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Female"
5;;;5;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Female"
1;;;1;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Female"
1;;;1;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
1;;;1;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
1;;;1;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"femle"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"femle"
1;;;1;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"femle"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"femle"
2;;;1;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fmale"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fmale"
2;;;1;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fmale"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fmale"
1;;;1;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"m"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"m"
1;;;1;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"m"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"m"
7;;;7;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"M"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"M"
6;;;6;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"M"
1;;;1;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"M"
1;;;1;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"mail"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"mail"
1;;;1;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"mail"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"mail"
1;;;1;;"valid";;"S_6";"Mobile";"in";"day";"GD";"S_2";"ru_RollupOnGD";"mail"
0;;;0;;"invalid";;"S_6";"Mobile";"in";"day";"GD";"S_2";"ru_RollupOnGD";"mail"
2;;;2;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"mal"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"mal"
2;;;2;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"mal"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"mal"
2;;;2;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Mal"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Mal"
2;;;2;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Mal"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Mal"
2;;;2;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"male"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"male"
1;;;1;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Male"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Male"
1;;;1;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Male"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Male"
1;;;1;;"valid";;"S_6";"Mobile";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Male"
0;;;0;;"invalid";;"S_6";"Mobile";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Male"
2;;;2;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"mle"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"mle"
2;;;2;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"mle"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"mle"
1;;;1;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"phemail"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"phemail"
1;;;1;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"phemail"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"phemail"
1;;;1;;"valid";;"S_6";"Mobile";"in";"day";"GD";"S_2";"ru_RollupOnGD";"phemail"
0;;;0;;"invalid";;"S_6";"Mobile";"in";"day";"GD";"S_2";"ru_RollupOnGD";"phemail"
35;;;18;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"null"
2;;;1;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"null"
34;;;18;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"null"
3;;;2;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"null"
;1;1;;"N/A";;6;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"f"
;1;1;;"N/A";;5;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Female"
;1;1;;"N/A";;5;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Female"
;1;1;;"1978-16-12";;3;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"M"
;2;1;;"NULL";;35;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"null"
;1;1;;"1933-09-00";;5;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"null"
;2;1;;"NULL";;35;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"null"
