"item-count";"ProfileInternalColumnName";"ProfileSourceAttributeName";"item-percent";"item-value";"ProfileInputName";"ProfileSourceAttributeType";"FrequencyType"
1;"S_1";"FullName";"1%";"Mrs Jehlicka Lorenza";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Mrs Nicol Lowthert";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Mrs Reichart Carlotta";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Mrs Sar Maragret";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Mrs Valorie Finnel";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Ms Babbin Tiffani";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Ms Blaszczyk Chantel";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Ms Krystle Kulseth";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Ms Sauber Candis";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Ms. Amy Coll O.D.";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Ms. Chelsie Channel";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Ms. Jane Watson";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Ms. Keesha Bonanni";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Ms. Maryln Kishimoto";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Ms. Song Stong";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Ms.Christen Klinker";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Ms.Patsy Hemmeke";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Nogoda Garth";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Overland Spring";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Penalver Margarite";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Raza Mattie";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Rebecca May";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Sarmiento Olene";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Shinabery Tamie";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Shute Arlie";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Slonecker Esther";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Smith Denisse";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Smith W. John";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Steven Govin";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Stoneman Willa";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Tisch Elizebeth";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Tomas Kloberdanz Mr";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Tryninewski Honey";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Turnley Denae Mr";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Volle Elbert";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Walter Rottinghaus";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Watson Jane CPA";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Wertman Annemarie";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Whitney Bhatnagar";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"wyomi neles Ms";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Zoll Kelvin";"in";"STRING";"Value"
39;"S_2";"GD";"39%";;"in";"STRING";"Value"
16;"S_2";"GD";"16%";"F";"in";"STRING";"Value"
7;"S_2";"GD";"7%";"f";"in";"STRING";"Value"
7;"S_2";"GD";"7%";"M";"in";"STRING";"Value"
6;"S_2";"GD";"6%";"Female";"in";"STRING";"Value"
3;"S_2";"GD";"3%";"Femail";"in";"STRING";"Value"
3;"S_2";"GD";"3%";"Mail";"in";"STRING";"Value"
2;"S_2";"GD";"2%";"fmale";"in";"STRING";"Value"
2;"S_2";"GD";"2%";"mal";"in";"STRING";"Value"
2;"S_2";"GD";"2%";"Mal";"in";"STRING";"Value"
2;"S_2";"GD";"2%";"male";"in";"STRING";"Value"
2;"S_2";"GD";"2%";"mle";"in";"STRING";"Value"
1;"S_2";"GD";"1%";"fem";"in";"STRING";"Value"
1;"S_2";"GD";"1%";"Fem";"in";"STRING";"Value"
1;"S_2";"GD";"1%";"femal";"in";"STRING";"Value"
1;"S_2";"GD";"1%";"FEMALE";"in";"STRING";"Value"
1;"S_2";"GD";"1%";"femle";"in";"STRING";"Value"
1;"S_2";"GD";"1%";"m";"in";"STRING";"Value"
1;"S_2";"GD";"1%";"mail";"in";"STRING";"Value"
1;"S_2";"GD";"1%";"Male";"in";"STRING";"Value"
1;"S_2";"GD";"1%";"phemail";"in";"STRING";"Value"
3;"S_3";"CalculatedDate";"3%";;"in";"STRING";"Value"
12;"S_3";"CalculatedDate";"12%";"2003-12-06";"in";"STRING";"Value"
11;"S_3";"CalculatedDate";"11%";"2001.07.01";"in";"STRING";"Value"
3;"S_3";"CalculatedDate";"3%";"01\\01\\1998";"in";"STRING";"Value"
3;"S_3";"CalculatedDate";"3%";"16.11.1978";"in";"STRING";"Value"
3;"S_3";"CalculatedDate";"3%";"5.1.1982";"in";"STRING";"Value"
3;"S_3";"CalculatedDate";"3%";"NULL";"in";"STRING";"Value"
2;"S_3";"CalculatedDate";"2%";"16.12.1978";"in";"STRING";"Value"
2;"S_3";"CalculatedDate";"2%";"N/A";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"12/16/1978";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"16.01.2018";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1905-06-02";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1933-09-01";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1939-05-11";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1940-02-9";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1941-06-28";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1943-05-17";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1944-08-05";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1946-08-02";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"LLLLLL LLLLLLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLLL LLLLLLL LLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLLLL LLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLLLL LLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLLLL LLLLLL L.LL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLLLL LLLLLL LLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLLLL LLLLLLL LL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLLLL LLLLLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLLLLL LLLLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLLLLLL LLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLLLLLL LLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLLLLLLL LLLLL";"in";"STRING";"Masked"
39;"S_2";"GD";"39%";;"in";"STRING";"Masked"
31;"S_2";"GD";"31%";"L";"in";"STRING";"Masked"
10;"S_2";"GD";"10%";"LLLLLL";"in";"STRING";"Masked"
8;"S_2";"GD";"8%";"LLL";"in";"STRING";"Masked"
7;"S_2";"GD";"7%";"LLLL";"in";"STRING";"Masked"
4;"S_2";"GD";"4%";"LLLLL";"in";"STRING";"Masked"
1;"S_2";"GD";"1%";"LLLLLLL";"in";"STRING";"Masked"
3;"S_3";"CalculatedDate";"3%";;"in";"STRING";"Masked"
66;"S_3";"CalculatedDate";"66%";"DDDD-DD-DD";"in";"STRING";"Masked"
11;"S_3";"CalculatedDate";"11%";"DDDD.DD.DD";"in";"STRING";"Masked"
6;"S_3";"CalculatedDate";"6%";"DD.DD.DDDD";"in";"STRING";"Masked"
3;"S_3";"CalculatedDate";"3%";"D.D.DDDD";"in";"STRING";"Masked"
3;"S_3";"CalculatedDate";"3%";"DD\\DD\\DDDD";"in";"STRING";"Masked"
3;"S_3";"CalculatedDate";"3%";"LLLL";"in";"STRING";"Masked"
2;"S_3";"CalculatedDate";"2%";"L/L";"in";"STRING";"Masked"
1;"S_3";"CalculatedDate";"1%";"DD/DD/DDDD";"in";"STRING";"Masked"
1;"S_3";"CalculatedDate";"1%";"DDDD-DD-D";"in";"STRING";"Masked"
1;"S_3";"CalculatedDate";"1%";"L. DDDD-DD-DD";"in";"STRING";"Masked"
2;"S_4";"BirthDate";"2%";;"in";"STRING";"Masked"
68;"S_4";"BirthDate";"68%";"DDDD-DD-DD";"in";"STRING";"Masked"
12;"S_4";"BirthDate";"12%";"DDDD.DD.DD";"in";"STRING";"Masked"
3;"S_4";"BirthDate";"3%";"D.D.DDDD";"in";"STRING";"Masked"
3;"S_4";"BirthDate";"3%";"DD.DD.DDDD";"in";"STRING";"Masked"
3;"S_4";"BirthDate";"3%";"DD\\DD\\DDDD";"in";"STRING";"Masked"
3;"S_4";"BirthDate";"3%";"DDDDDD";"in";"STRING";"Masked"
3;"S_4";"BirthDate";"3%";"LLLL";"in";"STRING";"Masked"
2;"S_4";"BirthDate";"2%";"L/L";"in";"STRING";"Masked"
1;"S_4";"BirthDate";"1%";"L. DDDD-DD-DD";"in";"STRING";"Masked"
1;"S_3";"CalculatedDate";"1%";"1947-09-23";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1949-03-13";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1949-03-29";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1949-12-17";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1952-08-07";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1952-12-18";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1953-06-22";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1953-07-13";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1956-05-02";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1956-05-15";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1956-05-16";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1957-07-20";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1957-10-10";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1958-02-01";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1959-09-05";"in";"STRING";"Value"
1;"S_3";"CalculatedDate";"1%";"1959-12-04";"in";"STRING";"Value"
