"stat-multiple";"stat-type";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"ProfileSourceAttributeType"
"true";"last_x";"S_4";"BirthDate";"in";"STRING"
"true";"quantiles";"S_4";"BirthDate";"in";"STRING"
"false";"distinct";"S_4";"BirthDate";"in";"STRING"
"false";"unique";"S_4";"BirthDate";"in";"STRING"
"false";"min";"S_4";"BirthDate";"in";"STRING"
"false";"max";"S_4";"BirthDate";"in";"STRING"
"false";"median";"S_4";"BirthDate";"in";"STRING"
"false";"min_positive_length";"S_4";"BirthDate";"in";"STRING"
"false";"min_length";"S_4";"BirthDate";"in";"STRING"
"false";"max_length";"S_4";"BirthDate";"in";"STRING"
"false";"avg_length";"S_4";"BirthDate";"in";"STRING"
"false";"median_length";"S_4";"BirthDate";"in";"STRING"
"false";"non_unique";"S_4";"BirthDate";"in";"STRING"
"false";"duplicate";"S_4";"BirthDate";"in";"STRING"
"false";"count";"S_5";"Description";"in";"STRING"
"false";"count_nulls";"S_5";"Description";"in";"STRING"
"false";"count_not_nulls";"S_5";"Description";"in";"STRING"
"true";"first_x";"S_5";"Description";"in";"STRING"
"true";"last_x";"S_5";"Description";"in";"STRING"
"true";"quantiles";"S_5";"Description";"in";"STRING"
"false";"distinct";"S_5";"Description";"in";"STRING"
"false";"unique";"S_5";"Description";"in";"STRING"
"false";"min";"S_5";"Description";"in";"STRING"
"false";"max";"S_5";"Description";"in";"STRING"
"false";"median";"S_5";"Description";"in";"STRING"
"false";"min_positive_length";"S_5";"Description";"in";"STRING"
"false";"min_length";"S_5";"Description";"in";"STRING"
"false";"max_length";"S_5";"Description";"in";"STRING"
"false";"avg_length";"S_5";"Description";"in";"STRING"
"false";"median_length";"S_5";"Description";"in";"STRING"
"false";"non_unique";"S_5";"Description";"in";"STRING"
"false";"duplicate";"S_5";"Description";"in";"STRING"
"false";"count";"S_6";"Mobile";"in";"STRING"
"false";"count_nulls";"S_6";"Mobile";"in";"STRING"
"false";"count_not_nulls";"S_6";"Mobile";"in";"STRING"
"true";"first_x";"S_6";"Mobile";"in";"STRING"
"true";"last_x";"S_6";"Mobile";"in";"STRING"
"true";"quantiles";"S_6";"Mobile";"in";"STRING"
"false";"distinct";"S_6";"Mobile";"in";"STRING"
"false";"unique";"S_6";"Mobile";"in";"STRING"
"false";"min";"S_6";"Mobile";"in";"STRING"
"false";"max";"S_6";"Mobile";"in";"STRING"
"false";"median";"S_6";"Mobile";"in";"STRING"
"false";"min_positive_length";"S_6";"Mobile";"in";"STRING"
"false";"min_length";"S_6";"Mobile";"in";"STRING"
"false";"max_length";"S_6";"Mobile";"in";"STRING"
"false";"avg_length";"S_6";"Mobile";"in";"STRING"
"false";"median_length";"S_6";"Mobile";"in";"STRING"
"false";"non_unique";"S_6";"Mobile";"in";"STRING"
"false";"duplicate";"S_6";"Mobile";"in";"STRING"
"false";"count";"S_7";"Email";"in";"STRING"
"false";"count_nulls";"S_7";"Email";"in";"STRING"
"false";"count_not_nulls";"S_7";"Email";"in";"STRING"
"true";"first_x";"S_7";"Email";"in";"STRING"
"true";"last_x";"S_7";"Email";"in";"STRING"
"true";"quantiles";"S_7";"Email";"in";"STRING"
"false";"distinct";"S_7";"Email";"in";"STRING"
"false";"unique";"S_7";"Email";"in";"STRING"
"false";"min";"S_7";"Email";"in";"STRING"
"false";"max";"S_7";"Email";"in";"STRING"
"false";"median";"S_7";"Email";"in";"STRING"
"false";"min_positive_length";"S_7";"Email";"in";"STRING"
"false";"min_length";"S_7";"Email";"in";"STRING"
"false";"max_length";"S_7";"Email";"in";"STRING"
"false";"avg_length";"S_7";"Email";"in";"STRING"
"false";"median_length";"S_7";"Email";"in";"STRING"
"false";"non_unique";"S_7";"Email";"in";"STRING"
"false";"duplicate";"S_7";"Email";"in";"STRING"
"false";"count";"S_8";"directmailing";"in";"STRING"
"false";"count_nulls";"S_8";"directmailing";"in";"STRING"
"false";"count_not_nulls";"S_8";"directmailing";"in";"STRING"
"true";"first_x";"S_8";"directmailing";"in";"STRING"
"true";"last_x";"S_8";"directmailing";"in";"STRING"
"true";"quantiles";"S_8";"directmailing";"in";"STRING"
"false";"distinct";"S_8";"directmailing";"in";"STRING"
"false";"unique";"S_8";"directmailing";"in";"STRING"
"false";"min";"S_8";"directmailing";"in";"STRING"
"false";"max";"S_8";"directmailing";"in";"STRING"
"false";"median";"S_8";"directmailing";"in";"STRING"
"false";"min_positive_length";"S_8";"directmailing";"in";"STRING"
"false";"min_length";"S_8";"directmailing";"in";"STRING"
"false";"max_length";"S_8";"directmailing";"in";"STRING"
"false";"avg_length";"S_8";"directmailing";"in";"STRING"
"false";"median_length";"S_8";"directmailing";"in";"STRING"
"false";"non_unique";"S_8";"directmailing";"in";"STRING"
"false";"duplicate";"S_8";"directmailing";"in";"STRING"
"false";"count";"S_9";"directemail";"in";"STRING"
"false";"count_nulls";"S_9";"directemail";"in";"STRING"
"false";"count_not_nulls";"S_9";"directemail";"in";"STRING"
"true";"first_x";"S_9";"directemail";"in";"STRING"
"true";"last_x";"S_9";"directemail";"in";"STRING"
"true";"quantiles";"S_9";"directemail";"in";"STRING"
"false";"distinct";"S_9";"directemail";"in";"STRING"
"false";"unique";"S_9";"directemail";"in";"STRING"
"false";"min";"S_9";"directemail";"in";"STRING"
"false";"max";"S_9";"directemail";"in";"STRING"
"false";"median";"S_9";"directemail";"in";"STRING"
"false";"min_positive_length";"S_9";"directemail";"in";"STRING"
"false";"min_length";"S_9";"directemail";"in";"STRING"
"false";"max_length";"S_9";"directemail";"in";"STRING"
"false";"avg_length";"S_9";"directemail";"in";"STRING"
"false";"median_length";"S_9";"directemail";"in";"STRING"
"false";"non_unique";"S_9";"directemail";"in";"STRING"
"false";"duplicate";"S_9";"directemail";"in";"STRING"
"false";"count";"S_10";"directtelephone";"in";"STRING"
"false";"count_nulls";"S_10";"directtelephone";"in";"STRING"
"false";"count_not_nulls";"S_10";"directtelephone";"in";"STRING"
"true";"first_x";"S_10";"directtelephone";"in";"STRING"
"true";"last_x";"S_10";"directtelephone";"in";"STRING"
"true";"quantiles";"S_10";"directtelephone";"in";"STRING"
"false";"distinct";"S_10";"directtelephone";"in";"STRING"
"false";"unique";"S_10";"directtelephone";"in";"STRING"
"false";"min";"S_10";"directtelephone";"in";"STRING"
"false";"max";"S_10";"directtelephone";"in";"STRING"
"false";"median";"S_10";"directtelephone";"in";"STRING"
"false";"min_positive_length";"S_10";"directtelephone";"in";"STRING"
"false";"min_length";"S_10";"directtelephone";"in";"STRING"
"false";"max_length";"S_10";"directtelephone";"in";"STRING"
"false";"avg_length";"S_10";"directtelephone";"in";"STRING"
"false";"median_length";"S_10";"directtelephone";"in";"STRING"
"false";"non_unique";"S_10";"directtelephone";"in";"STRING"
"false";"duplicate";"S_10";"directtelephone";"in";"STRING"
"false";"count";"S_11";"titleCode";"in";"STRING"
"false";"count_nulls";"S_11";"titleCode";"in";"STRING"
"false";"count_not_nulls";"S_11";"titleCode";"in";"STRING"
"true";"first_x";"S_11";"titleCode";"in";"STRING"
"true";"last_x";"S_11";"titleCode";"in";"STRING"
"true";"quantiles";"S_11";"titleCode";"in";"STRING"
"false";"distinct";"S_11";"titleCode";"in";"STRING"
"false";"unique";"S_11";"titleCode";"in";"STRING"
"false";"min";"S_11";"titleCode";"in";"STRING"
"false";"max";"S_11";"titleCode";"in";"STRING"
"false";"median";"S_11";"titleCode";"in";"STRING"
"false";"min_positive_length";"S_11";"titleCode";"in";"STRING"
"false";"min_length";"S_11";"titleCode";"in";"STRING"
"false";"max_length";"S_11";"titleCode";"in";"STRING"
"false";"avg_length";"S_11";"titleCode";"in";"STRING"
"false";"median_length";"S_11";"titleCode";"in";"STRING"
"false";"non_unique";"S_11";"titleCode";"in";"STRING"
"false";"duplicate";"S_11";"titleCode";"in";"STRING"
