"item-count";"ProfileInternalColumnName";"ProfileSourceAttributeName";"item-percent";"item-value";"ProfileInputName";"ProfileSourceAttributeType";"FrequencyType";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
2;"S_1";"FullName";"28.5714285714%";"LLLLLL LLLLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
2;"S_1";"FullName";"28.5714285714%";"LLLLLLL LLLLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_1";"FullName";"14.2857142857%";"LLLLLL LLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_1";"FullName";"14.2857142857%";"LLLLLLL LLLLLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_1";"FullName";"14.2857142857%";"LLLLLLLLLLL LLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
7;"S_2";"GD";"100%";"L";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
6;"S_3";"CalculatedDate";"85.7142857143%";"DDDD-DD-DD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_3";"CalculatedDate";"14.2857142857%";"L/L";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
6;"S_4";"BirthDate";"85.7142857143%";"DDDD-DD-DD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_4";"BirthDate";"14.2857142857%";"L/L";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
5;"S_5";"Description";"71.4285714286%";;"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_5";"Description";"14.2857142857%";"DDDDDDDDDDD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_5";"Description";"14.2857142857%";"LL:DDDDDD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
3;"S_6";"Mobile";"42.8571428571%";"DD DDDD DDDDDD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
3;"S_6";"Mobile";"42.8571428571%";"DD DDDD DDDDDD DD DDDD DDDDDD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_6";"Mobile";"14.2857142857%";"DD DDDD DDDDDD,DD DDDD DDDDDD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
2;"S_7";"Email";"28.5714285714%";;"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_7";"Email";"14.2857142857%";"LL.LLLL.LLLLL@LLLLL.L";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_7";"Email";"14.2857142857%";"LLLL.L.LLLLL@LLLLL.LLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_7";"Email";"14.2857142857%";"LLLL.LLLL.LLLLL@LLLLL.LLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_7";"Email";"14.2857142857%";"dr.john.smith@gmail.c";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_7";"Email";"14.2857142857%";"john.smith@gmail.com";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_7";"Email";"14.2857142857%";"john.w.smith@gmail.com";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_7";"Email";"14.2857142857%";"john.will.smith@gmail.com";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_7";"Email";"14.2857142857%";"smith.john@gmail.com";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_8";"directmailing";"14.2857142857%";;"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
3;"S_8";"directmailing";"42.8571428571%";"3";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_8";"directmailing";"14.2857142857%";"1";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_8";"directmailing";"14.2857142857%";"2";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_8";"directmailing";"14.2857142857%";"4";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_9";"directemail";"14.2857142857%";;"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
5;"S_9";"directemail";"71.4285714286%";"4";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_9";"directemail";"14.2857142857%";"2";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_10";"directtelephone";"14.2857142857%";;"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
2;"S_10";"directtelephone";"28.5714285714%";"1";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
2;"S_10";"directtelephone";"28.5714285714%";"2";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
2;"S_10";"directtelephone";"28.5714285714%";"4";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
3;"S_11";"titleCode";"42.8571428571%";;"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_11";"titleCode";"14.2857142857%";"title";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_11";"titleCode";"14.2857142857%";"Z021";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_11";"titleCode";"14.2857142857%";"Z049";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_11";"titleCode";"14.2857142857%";"Z050";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_0";"RecID";"6.25%";"9";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"10";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"11";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"12";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"14";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"20";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"22";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"24";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"26";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"55";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"61";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"64";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"74";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"76";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"84";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_0";"RecID";"6.25%";"99";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Bail Gustavo DDS";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Denisse Smith";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Harmeyer Karen";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Hrabal Lucy";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"J. Smith";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Jane Smith";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Janette Smith";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Lita Leitze";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Ms. Amy Coll O.D.";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Ms. Song Stong";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Ms.Patsy Hemmeke";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Raza Mattie";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Slonecker Esther";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Watson Jane CPA";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Wertman Annemarie";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"Whitney Bhatnagar";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
16;"S_2";"GD";"100%";"F";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";;"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
2;"S_3";"CalculatedDate";"12.5%";"5.1.1982";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"1941-06-28";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"1946-08-02";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"1956-05-02";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_7";"Email";"14.2857142857%";"LLLL.LLLLL@LLLLL.LLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_7";"Email";"14.2857142857%";"LLLLL.LLLL@LLLLL.LLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_8";"directmailing";"14.2857142857%";;"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
6;"S_8";"directmailing";"85.7142857143%";"D";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_9";"directemail";"14.2857142857%";;"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
6;"S_9";"directemail";"85.7142857143%";"D";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_10";"directtelephone";"14.2857142857%";;"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
6;"S_10";"directtelephone";"85.7142857143%";"D";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
3;"S_11";"titleCode";"42.8571428571%";;"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
3;"S_11";"titleCode";"42.8571428571%";"LDDD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_11";"titleCode";"14.2857142857%";"LLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
2;"S_1";"FullName";"12.5%";"LLLL LLLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
2;"S_1";"FullName";"12.5%";"LLLLLLL LLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
2;"S_1";"FullName";"12.5%";"LLLLLLL LLLLLLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"L. LLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"LL. LLL LLLL L.L.";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"LL. LLLL LLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"LL.LLLLL LLLLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"LLLL LLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"LLLL LLLLLLL LLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"1957-07-20";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"1957-10-10";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"1959-12-04";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"1973-04-01";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"1978-11-16";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"1979-11-16";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"2001-06-13";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"2001.07.01";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"2003-06-04";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"B. 1982-01-05";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
2;"S_4";"BirthDate";"12.5%";"5.1.1982";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
2;"S_4";"BirthDate";"12.5%";"791216";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_4";"BirthDate";"6.25%";"1941-06-29";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_4";"BirthDate";"6.25%";"1946-08-03";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_4";"BirthDate";"6.25%";"1956-05-03";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_4";"BirthDate";"6.25%";"1957-07-21";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_4";"BirthDate";"6.25%";"1957-10-11";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_4";"BirthDate";"6.25%";"1959-12-05";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_4";"BirthDate";"6.25%";"1973-04-02";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_4";"BirthDate";"6.25%";"1978-11-16";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_4";"BirthDate";"6.25%";"1979-11-17";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_4";"BirthDate";"6.25%";"2001-06-14";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_4";"BirthDate";"6.25%";"2001.07.01";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_4";"BirthDate";"6.25%";"2003-06-05";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
9;"S_5";"Description";"56.25%";;"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
4;"S_5";"Description";"25%";"HI:123456";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
3;"S_5";"Description";"18.75%";"07801211963";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
2;"S_6";"Mobile";"12.5%";"44 7700 900038";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
2;"S_6";"Mobile";"12.5%";"44 7700 900483";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_6";"Mobile";"6.25%";"44 7700 900032";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_6";"Mobile";"6.25%";"44 7700 900155";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_6";"Mobile";"6.25%";"44 7700 900188";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_6";"Mobile";"6.25%";"44 7700 900272";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_6";"Mobile";"6.25%";"44 7700 900480";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_6";"Mobile";"6.25%";"44 7700 900537";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_6";"Mobile";"6.25%";"44 7700 900552";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_6";"Mobile";"6.25%";"44 7700 900552 44 7700 900489";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_6";"Mobile";"6.25%";"44 7700 900561";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_6";"Mobile";"6.25%";"44 7700 900625";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_6";"Mobile";"6.25%";"44 7700 900990 44 7700 900489";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"LLLLLL LLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"LLLLLL LLLL LLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"LLLLLLLL LLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_1";"FullName";"6.25%";"LLLLLLLLL LLLLLL";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
16;"S_2";"GD";"100%";"L";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";;"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
11;"S_3";"CalculatedDate";"68.75%";"DDDD-DD-DD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
2;"S_3";"CalculatedDate";"12.5%";"D.D.DDDD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"DDDD.DD.DD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_3";"CalculatedDate";"6.25%";"L. DDDD-DD-DD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
11;"S_4";"BirthDate";"68.75%";"DDDD-DD-DD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
2;"S_4";"BirthDate";"12.5%";"D.D.DDDD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
2;"S_4";"BirthDate";"12.5%";"DDDDDD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_4";"BirthDate";"6.25%";"DDDD.DD.DD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
9;"S_5";"Description";"56.25%";;"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
4;"S_5";"Description";"25%";"LL:DDDDDD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
3;"S_5";"Description";"18.75%";"DDDDDDDDDDD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
13;"S_6";"Mobile";"81.25%";"DD DDDD DDDDDD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
2;"S_6";"Mobile";"12.5%";"DD DDDD DDDDDD DD DDDD DDDDDD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_6";"Mobile";"6.25%";"DD DDDD DDDDDD, DD DDDD DDDDDD";"in";"STRING";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_6";"Mobile";"6.25%";"44 7700 900991, 44 7700 900005";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
2;"S_7";"Email";"12.5%";;"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
4;"S_7";"Email";"25%";"john.smith@.com";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
3;"S_7";"Email";"18.75%";"dr.john.smith@gmail.c";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
3;"S_7";"Email";"18.75%";"jane.watson@gmail.com";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
3;"S_7";"Email";"18.75%";"john.w.smith@gmail.com";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
1;"S_7";"Email";"6.25%";"john.smith@gmail.com";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"F"
