"item-count";"item-percent";"item-value";"ProfileInternalColumnName";"ProfileSourceAttributeType";"ProfileSourceAttributeName";"ProfileInputName";"FrequencyType";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
1;"16.6666666667%";;"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
5;"83.3333333333%";"LDDD";"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
1;"100%";"LLLLLLLL LLLLLL L.LL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
1;"100%";"LLLLLL";"S_2";"STRING";"GD";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
1;"100%";"DDDD-DD-DD";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
1;"100%";"DDDD-DD-DD";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
1;"100%";;"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
1;"100%";"DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
1;"100%";"LLLL.LLLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
1;"100%";"D";"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
1;"100%";"D";"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
1;"100%";"D";"S_10";"STRING";"directtelephone";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
1;"100%";"LDDD";"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
1;"100%";"LLLLLLLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femle"
1;"100%";"LLLLL";"S_2";"STRING";"GD";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femle"
1;"100%";"DDDD-DD-DD";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femle"
1;"100%";"DDDD-DD-DD";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femle"
1;"100%";;"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femle"
1;"100%";"DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femle"
1;"100%";"LLLL.LLLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femle"
1;"100%";"D";"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femle"
1;"100%";"D";"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femle"
1;"100%";"D";"S_10";"STRING";"directtelephone";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femle"
1;"100%";"LDDD";"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femle"
1;"50%";"LLLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
1;"50%";"LLLLLLLLL LLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
2;"100%";"LLLLL";"S_2";"STRING";"GD";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
2;"100%";"DDDD.DD.DD";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
2;"100%";"DDDD.DD.DD";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
1;"50%";;"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
1;"50%";"DDDDDDDDDDD";"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
2;"100%";"DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
1;"50%";"LL.LLLL.LLLLL@LLLLL.L";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
1;"50%";"LLLL.LLLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
2;"100%";"D";"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
2;"100%";"D";"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
2;"100%";"D";"S_10";"STRING";"directtelephone";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
1;"50%";;"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
1;"50%";"LDDD";"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fmale"
1;"100%";"LLLLLLL LLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"m"
1;"100%";"L";"S_2";"STRING";"GD";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"m"
1;"100%";"DDDD-DD-DD";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"m"
1;"100%";"DDDD-DD-DD";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"m"
1;"100%";;"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"m"
1;"100%";"DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"m"
1;"100%";"LLLL.LLLLL@.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"m"
1;"100%";;"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"m"
1;"100%";;"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"m"
1;"100%";"D";"S_10";"STRING";"directtelephone";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"m"
1;"100%";;"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"m"
1;"14.2857142857%";"LL. L.L. LLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"M"
