"SourceName";"SourceLayerName";"DQM_GlobalRecordID";"DQM_RecordID";"DQM_RuleCodesApplied";"DQM_RuleCodesAppliedLA";"DQM_RuleCodesAppliedLAGuid";"DQM_RuleCodesAppliedMappings";"DQM_RuleCodesAppliedForFilter";"DQM_RuleCodesAppliedLAForFilter";"DQM_RuleCodesAppliedLAFiltered";"DQM_RuleCodesFailed";"DQM_RuleCodesFailedLA";"DQM_RecordScore";"DQM_RecordExplanation";"splitted_DQM_RuleCodesAppliedLAForFilter_RDC";"splitted_DQM_RuleCodesAppliedLAForFilter";"par_LeadingAttribute";"par_RuleID";"par_FilterRuleID";"par_FilterLeadingAttribute"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:35";"35";"1 10 1";"1.Gender 10.Gender 1.Mobile";"c8757dcb-c3cb-4e2c-9529-8fe792b8f897 8081e0f6-acbe-4fa6-8196-b52f0c21ec35 130aaccc-56ac-40db-bb29-793a5dc2141a";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";;;0;;"100:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:26";"26";"1 10 1";"1.Gender 10.Gender 1.Mobile";"9ff043f8-358d-4dfc-a84c-0356c0a2bb51 1104ba19-d668-4262-b20d-1183dc03c1f9 23304d2c-888f-4c1a-b5be-c9a8f6af71d3";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"1";"1.Mobile";10;"COLUMN_NOT_POPULATED(Mobile)";"101:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:96";"96";"1 10 1";"1.Gender 10.Gender 1.Mobile";"5a9a6eb6-6017-4560-8c7c-77b744d51189 71dbd095-0c8d-4d2e-8ff5-d16118bcf2b1 22c5e2dc-e8c3-45f5-a1a5-d092584f64e3";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"10 1";"10.Gender 1.Mobile";20;"INVALID_GENDER_VALUE(Gender) COLUMN_NOT_POPULATED(Mobile)";"102:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:16";"16";"1 10 1";"1.Gender 10.Gender 1.Mobile";"91a5f037-2c4a-4af7-8ca9-74c3d8b20fd9 2b49fe7d-dc66-4abc-928f-9f31a3f5e5c5 9c626c69-aeb7-426c-a024-6100ef8433e7";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";;;0;;"103:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:67";"67";"1 10 1";"1.Gender 10.Gender 1.Mobile";"248f445e-0afe-44f7-88cb-86ee2c792eec 11cc4f4c-4faf-45c2-87f7-77098584db7d 17c23c50-2c59-4b26-9d91-eed71636f2f7";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1 1";"1.Gender 1.Mobile";20;"COLUMN_NOT_POPULATED(Gender) COLUMN_NOT_POPULATED(Mobile)";"104:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:77";"77";"1 10 1";"1.Gender 10.Gender 1.Mobile";"a77574a9-794e-4bd3-a420-4d63462bd2e9 0dd6dc9e-b681-4518-bc3a-46ec77d57600 8f66195d-0050-4533-95fb-1d2f5aa0dd0c";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1 1";"1.Gender 1.Mobile";20;"COLUMN_NOT_POPULATED(Gender) COLUMN_NOT_POPULATED(Mobile)";"105:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:41";"41";"1 10 1";"1.Gender 10.Gender 1.Mobile";"8502d7cf-a3a7-4eaf-a2b8-a6e7399455f5 2678faca-5c3e-4e3f-83c6-a63c5941ba3c d4753016-f43d-40a5-b767-980279574f34";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";;;0;;"106:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:5";"5";"1 10 1";"1.Gender 10.Gender 1.Mobile";"047ad63a-1ab8-42d5-94a4-41a99ec53190 0c3a6c91-dc3f-41f7-b573-adaba67e5691 3b362209-e6ab-44b0-9513-1cb0244e9791";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1";"1.Gender";10;"COLUMN_NOT_POPULATED(Gender)";"107:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:91";"91";"1 10 1";"1.Gender 10.Gender 1.Mobile";"529c89a1-e9bf-40a3-9aef-9b3590be7a74 16ebbf5e-f394-4cf5-835c-5a9a143b3d62 42f5c41a-8231-46fd-adda-56a932b410b8";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"1";"1.Mobile";10;"COLUMN_NOT_POPULATED(Mobile)";"108:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:15";"15";"1 10 1";"1.Gender 10.Gender 1.Mobile";"7ff2b402-16c4-43d8-82ed-60b28a0a7d25 46038ef4-a25b-4cb5-a346-9f9af3d96684 a76aed1e-ffe5-46b1-81e9-25fd1ebd09f1";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"10";"10.Gender";10;"INVALID_GENDER_VALUE(Gender)";"109:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:8";"8";"1 10 1";"1.Gender 10.Gender 1.Mobile";"53721c1d-6734-4ecf-9779-7fad518192e7 12cde8d7-9f32-4450-99c2-6761851c7c83 ab664a1f-d00d-4a4c-8d68-287abc14ffae";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1";"1.Gender";10;"COLUMN_NOT_POPULATED(Gender)";"110:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:43";"43";"1 10 1";"1.Gender 10.Gender 1.Mobile";"210e0344-7518-48be-b45f-3354106048d8 6659a04c-5a92-4913-91f1-52819e73c380 93ed16a9-d535-41b2-ac8e-788bae8c989c";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"10 1";"10.Gender 1.Mobile";20;"INVALID_GENDER_VALUE(Gender) COLUMN_NOT_POPULATED(Mobile)";"111:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:20";"20";"1 10 1";"1.Gender 10.Gender 1.Mobile";"f9565fbb-2ac3-4918-81ab-1691eccfa883 c755b76e-c3ac-4d87-bb85-d49cd344e40e f8756626-7b34-4d38-ac47-43e27f25a3e6";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"1";"1.Mobile";10;"COLUMN_NOT_POPULATED(Mobile)";"112:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:76";"76";"1 10 1";"1.Gender 10.Gender 1.Mobile";"a77fd0a6-0fd7-4e81-ab50-99554e5c8297 7332789d-c416-4fa3-a447-17db78a45309 e4ae5a0f-55e9-4992-8987-1066ae233ab2";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";;;0;;"113:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:6";"6";"1 10 1";"1.Gender 10.Gender 1.Mobile";"2532e10a-efe1-4d1f-9869-ea19e57f9a1c f6779b7c-235d-49b4-bd38-c816ed144d0b cb79618b-1f4d-46e9-9875-6f849a2dc952";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1 1";"1.Gender 1.Mobile";20;"COLUMN_NOT_POPULATED(Gender) COLUMN_NOT_POPULATED(Mobile)";"114:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:64";"64";"1 10 1";"1.Gender 10.Gender 1.Mobile";"58b1b267-4568-49dc-97fc-48f196c4dd38 66287680-55e8-4202-bd97-7b75630141d9 aa5b6357-8e01-44d8-b9b9-931a93785c35";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"1";"1.Mobile";10;"COLUMN_NOT_POPULATED(Mobile)";"115:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:54";"54";"1 10 1";"1.Gender 10.Gender 1.Mobile";"9671c1c0-5ed4-4f18-b52c-5a227e148be5 57baabc8-d256-43f5-b19b-770c4e45bcb5 badaa4df-83a8-4d63-8b51-858e11c132a0";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1";"1.Gender";10;"COLUMN_NOT_POPULATED(Gender)";"116:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:95";"95";"1 10 1";"1.Gender 10.Gender 1.Mobile";"8da82d82-c859-4d7a-9814-19f6d5a3b44e 4c982918-9c26-4a61-9e4f-63ff989d077b ae0600b7-c099-420e-ac99-bc3c99ebd185";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1";"1.Gender";10;"COLUMN_NOT_POPULATED(Gender)";"117:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
